Tamsalu Grossi pakiautomaat,59.162278,26.112495
Tamsalu postipunkt,59.160224,26.112984
Kaiu postipunkt,59.013649,25.05032
Ubja postipunkt,59.416099,26.435587
Hagudi postipunkt,59.064609,24.808493
Rapla postkontor,59.00432,24.794818
Purje postipunkt,59.465672,24.826291
Kadrina Coop Konsumi pakiautomaat,59.343816,26.130138
Peetri postipunkt,58.944197,25.835227
Aravete postipunkt,59.144414,25.751514
Rakvere postkontor,59.348662,26.364142
Aravete Meie kaupluse pakiautomaat,59.144507,25.751629
Türi postkontor,58.807683,25.42907
Tornimäe postipunkt (raamatukogus),58.50357,23.114788
Paide postkontor,58.885621,25.556579
Tapa Grossi pakiautomaat,59.264462,25.963418
Mustjala postipunkt,58.463265,22.230322
Väike-Maarja Grossi pakiautomaat,59.129914,26.252251
Haapsalu Kastani pakiautomaat,58.936246,23.551852
Haapsalu Kaubamaja pakiautomaat,58.940735,23.541928
Taebla postipunkt,58.953567,23.744724
Lihula Coop Konsumi pakiautomaat,58.688219,23.834367
Haapsalu postkontor,58.941265,23.543124
Melliste postipunkt,58.332398,26.977601
Tartu Kivilinna Coop Konsumi pakiautomaat,58.37951,26.764323
Ilmatsalu postipunkt,58.384632,26.561483
Tartu Kesklinna Keskuse pakiautomaat,58.378165,26.724781
Pärnu Port Artur 2 pakiautomaat,58.387673,24.503573
Tõstamaa postkontor,58.334619,23.994026
Ahtme Grossi pakiautomaat,59.327631,27.420557
Iidla postkontor,59.327394,27.420584
Mäetaguse postipunkt,59.221872,27.292325
Sillamäe postkontor,59.392925,27.773496
Sillamäe Coop Maksimarketi pakiautomaat,59.391665,27.777892
Kohtla-Järve Rimi pakiautomaat,59.407391,27.284822
Kiviõli Maxima X pakiautomaat,59.358844,26.973209
Tammiku postipunkt (raamatukogu),59.334583,27.382858
Arsenali postkontor,59.451722,24.717816
Tallinna Arsenali Keskuse pakiautomaat,59.451157,24.718214
Tallinna Kolde Rimi pakiautomaat,59.438651,24.707627
Tallinna Kollase keskuse pakiautomaat,59.411587,24.63769
Torma postipunkt,58.819415,26.71256
Torma Coop kaupluse pakiautomaat,58.819233,26.739472
Tallinna Smuuli Maxima XX pakiautomaat,59.443633,24.822486
Paldiski postkontor,59.3476,24.062748
Jõhvi Maxima XX pakiautomaat,59.362392,27.401077
Märjamaa Maxima X pakiautomaat,58.909802,24.433812
Klooga postipunkt,59.319776,24.227849
Kuressaare Maxima XX pakiautomaat,58.260402,22.504776
Väätsa postipunkt,58.887844,25.448629
Kärdla Hiiu Coop Konsumi pakiautomaat,58.998418,22.746677
Tootsi postipunkt,58.58659,24.785687
Taevaskoja postipunkt,58.101491,27.044551
Loksa postkontor,59.582049,25.72153
Kohila Coop Konsumi pakiautomaat,59.167184,24.750497
Tallinna Valdeku Selver ABC pakiautomaat,59.381385,24.70096
Tallinna Pääsküla RIMI pakiautomaat,59.360991,24.630545
Loksa Grossi pakiautomaat,59.579123,25.727932
Leisi postkontor,58.571764,22.682144
Saue postkontor,59.32455,24.553621
Tudu postipunkt,59.180072,26.854177
Lihula postipunkt (raamatukogu),58.687289,23.834562
Hulja postipunkt (Reeda pood),59.353102,26.216172
Kose Grossi pakiautomaat,59.184,25.16463
Sinimäe postipunkt,59.374295,27.874325
Tallinna Nautica Keskuse pakiautomaat,59.440763,24.762318
Raasiku Coop Konsumi pakiautomaat,59.369367,25.182569
Paldiski Maxima X pakiautomaat,59.347514,24.06282
Riia Maja postkontor,58.370119,24.546886
Karksi-Nuia Coop Konsum pakiautomaat,58.104206,25.548253
Kuremaa postipunkt,58.734271,26.53956
